PANTONENAME,UNIQUECODE,L,a,b
136 C,10398,82,15,69
1365 C,10399,79,20,62
137 C,10400,75,27,78
1375 C,10401,74,31,73
138 C,10402,62,34,68
1385 C,10403,60,32,66
139 C,10404,52,22,58
1395 C,10405,46,19,47
140 C,10406,38,9,35
1405 C,10407,36,10,32
141 C,10408,83,6,57
142 C,10409,80,10,63
143 C,10410,78,14,68
144 C,10411,68,32,72
145 C,10412,61,26,66
146 C,10413,52,18,54
147 C,10414,41,4,31
148 C,10415,85,12,39
1485 C,10416,78,25,50
149 C,10417,83,17,43
1495 C,10418,71,37,71
150 C,10419,79,22,55
1505 C,10420,63,55,72
151 C,10421,68,44,74
152 C,10422,61,42,68
1525 C,10423,46,44,56
153 C,10424,54,30,56
1535 C,10425,39,31,45
154 C,10426,45,23,45
1545 C,10427,29,17,28
155 C,10428,85,6,28
1555 C,10429,81,22,30
156 C,10430,80,11,39
1565 C,10431,75,32,43
157 C,10432,73,22,50
1575 C,10433,68,46,62
158 C,10434,63,41,62
1585 C,10435,64,55,69
159 C,10436,54,40,57
1595 C,10437,56,45,59
160 C,10438,45,28,45
1605 C,10439,46,31,43
161 C,10440,30,13,24
1615 C,10441,39,27,35
162 C,10442,83,21,24
1625 C,10443,76,32,27
163 C,10444,74,33,40
1635 C,10445,71,41,36
164 C,10446,68,46,55
1645 C,10447,64,55,53
165 C,10448,64,56,65
1655 C,10449,59,65,70
166 C,10450,55,55,64
1665 C,10451,52,58,62
167 C,10452,49,42,50
1675 C,10453,43,41,43
168 C,10454,32,24,29
1685 C,10455,34,30,32
169 C,10456,80,27,16
170 C,10457,70,45,31
171 C,10458,62,61,53
172 C,10459,58,67,64
173 C,10460,50,53,51
174 C,10461,37,39,34
175 C,10462,29,24,18
176 C,10463,80,30,6
1765 C,10464,77,35,6
1767 C,10465,79,30,3
177 C,10466,69,49,17
1775 C,10467,72,45,9
1777 C,10468,63,60,17
178 C,10469,62,64,34
1785 C,10470,58,68,28
1787 C,10471,55,71,35
1788 C,10472,52,72,43
179 C,10473,52,63,45
1795 C,10474,47,65,40
1797 C,10475,47,59,33
180 C,10476,45,52,34
1805 C,10477,40,54,31
1807 C,10478,40,46,23
181 C,10479,32,34,20
1815 C,10480,29,38,19
1817 C,10481,28,23,8
182 C,10482,82,25,0
183 C,10483,75,39,4
184 C,10484,59,64,17
185 C,10485,49,74,46
186 C,10486,44,66,37
187 C,10487,37,55,27
188 C,10488,28,37,13
189 C,10489,76,34,1
1895 C,10490,81,26,-3
190 C,10491,66,52,5
1905 C,10492,74,37,-2
191 C,10493,56,68,16
1915 C,10494,58,65,8
192 C,10495,49,74,30
1925 C,10496,48,74,25
193 C,10497,42,64,25
1935 C,10498,42,67,26
194 C,10499,36,49,13
1945 C,10500,36,58,17
195 C,10501,31,34,6
1955 C,10502,31,49,11
196 C,10503,84,14,2
197 C,10504,72,30,2
198 C,10505,54,60,20
199 C,10506,46,71,38
200 C,10507,40,63,32
2001 C,10508,91,-2,39
2002 C,10509,90,-2,52
2003 C,10510,90,-3,61
2004 C,10511,89,1,51
2005 C,10512,88,5,47
2006 C,10513,79,8,59
2007 C,10514,72,14,67
2008 C,10515,81,9,47
2009 C,10516,78,14,50
201 C,10517,36,50,21
2010 C,10518,78,22,79
2011 C,10519,71,25,63
2012 C,10520,70,28,74
2013 C,10521,73,33,77
2014 C,10522,54,24,61
2015 C,10523,86,11,24
2016 C,10524,80,22,44
2017 C,10525,77,23,43
2018 C,10526,66,49,73
2019 C,10527,58,39,65
202 C,10528,32,41,16
2020 C,10529,49,40,58
2021 C,10530,42,33,44
2022 C,10531,77,27,27
2023 C,10532,72,37,36
2024 C,10533,67,45,43
2025 C,10534,70,41,59
2026 C,10535,61,55,50
2027 C,10536,57,59,44
2028 C,10537,53,67,65
2029 C,10538,67,43,21
203 C,10539,79,23,-4
2030 C,10540,62,38,20
2031 C,10541,58,43,23
2032 C,10542,54,47,26
2033 C,10543,49,51,30
2034 C,10544,53,64,41
2035 C,10545,46,70,51
2036 C,10546,83,24,-4
2037 C,10547,73,40,-11
2038 C,10548,61,60,-7
2039 C,10549,54,69,-2
204 C,10550,66,43,-3
2040 C,10551,48,72,16
2041 C,10552,37,53,6
2042 C,10553,28,33,3
2043 C,10554,83,15,-2
2044 C,10555,70,35,-5
2045 C,10556,62,45,-5
2046 C,10557,54,51,-4
2047 C,10558,44,44,-4
2048 C,10559,39,42,-4
2049 C,10560,33,40,1
205 C,10561,54,62,5
2050 C,10562,88,10,-5
2051 C,10563,81,11,-4
2052 C,10564,70,17,-6
2053 C,10565,59,23,-8
2054 C,10566,53,21,-7
2055 C,10567,46,24,-7
2056 C,10568,38,26,-7
2057 C,10569,68,27,-10
2058 C,10570,62,25,-13
2059 C,10571,59,28,-11
206 C,10572,44,69,32
2060 C,10573,58,43,-16
2061 C,10574,48,42,-13
2062 C,10575,47,51,-17
2063 C,10576,41,53,-16
2064 C,10577,74,29,-17
2065 C,10578,75,26,-19
2066 C,10579,68,34,-25
2067 C,10580,57,44,-32
2068 C,10581,50,50,-37
2069 C,10582,44,54,-39
207 C,10583,35,59,22
2070 C,10584,35,57,-41
2071 C,10585,76,13,-19
2072 C,10586,67,21,-27
2073 C,10587,66,19,-29
2074 C,10588,52,30,-39
2075 C,10589,50,28,-41
2076 C,10590,46,32,-43
2077 C,10591,36,35,-48
2078 C,10592,68,12,-12
2079 C,10593,56,17,-17
208 C,10594,31,45,6
2080 C,10595,54,22,-24
2081 C,10596,46,25,-27
2082 C,10597,40,28,-31
2083 C,10598,50,37,-47
2084 C,10599,38,48,-54
2085 C,10600,84,9,-11
2086 C,10601,62,18,-31
2087 C,10602,58,26,-42
2088 C,10603,47,33,-51
2089 C,10604,40,37,-56
209 C,10605,28,34,3
2090 C,10606,35,41,-60
2091 C,10607,24,48,-66
2092 C,10608,72,10,-21
2093 C,10609,66,11,-20
2094 C,10610,56,12,-23
2095 C,10611,47,21,-39
2096 C,10612,39,25,-44
2097 C,10613,38,36,-60
2098 C,10614,27,43,-67
2099 C,10615,69,11,-18
210 C,10616,76,37,-7
2100 C,10617,63,15,-28
2101 C,10618,54,24,-45
2102 C,10619,42,22,-46
2103 C,10620,37,25,-50
2104 C,10621,30,29,-53
2105 C,10622,21,31,-50
2106 C,10623,74,1,-13
2107 C,10624,63,2,-19
2108 C,10625,54,4,-23
2109 C,10626,47,5,-25
211 C,10627,68,50,-8
2110 C,10628,42,6,-26
2111 C,10629,34,6,-29
2112 C,10630,18,25,-40
2113 C,10631,72,5,-28
2114 C,10632,59,6,-32
2115 C,10633,52,9,-37
2116 C,10634,46,11,-41
2117 C,10635,34,17,-47
2118 C,10636,25,16,-40
2119 C,10637,21,12,-33
212 C,10638,59,66,-5
2120 C,10639,81,0,-17
2121 C,10640,69,-3,-27
2122 C,10641,71,3,-30
2123 C,10642,61,5,-41
2124 C,10643,54,13,-48
2125 C,10644,44,18,-57
2126 C,10645,30,29,-67
2127 C,10646,80,-2,-14
2128 C,10647,73,-2,-28
2129 C,10648,58,1,-46
213 C,10649,51,74,2
2130 C,10650,51,9,-52
2131 C,10651,40,14,-58
2132 C,10652,38,12,-63
2133 C,10653,37,4,-49
2134 C,10654,67,0,-24
2135 C,10655,58,1,-30
2136 C,10656,61,-1,-21
2137 C,10657,53,0,-25
2138 C,10658,49,-2,-18
2139 C,10659,43,-1,-29
214 C,10660,46,69,3
2140 C,10661,35,0,-30
2141 C,10662,74,-9,-27
2142 C,10663,69,-5,-33
2143 C,10664,54,-6,-43
2144 C,10665,42,-1,-51
2145 C,10666,34,8,-55
2146 C,10667,25,15,-55
2147 C,10668,18,17,-51
2148 C,10669,58,-11,-23
2149 C,10670,52,-10,-27
215 C,10671,38,59,2
2150 C,10672,46,-11,-29
2151 C,10673,43,-7,-37
2152 C,10674,40,-11,-31
2153 C,10675,34,-12,-29
2154 C,10676,29,-1,-40
2155 C,10677,73,-6,-14
2156 C,10678,67,-6,-18
2157 C,10679,60,-6,-20
2158 C,10680,52,-6,-24
2159 C,10681,48,-7,-25
216 C,10682,29,41,0
2160 C,10683,43,-6,-27
2161 C,10684,36,-7,-28
2162 C,10685,68,-1,-8
2163 C,10686,63,-5,-13
2164 C,10687,60,-5,-14
2165 C,10688,53,-6,-15
2166 C,10689,47,-6,-18
2167 C,10690,45,-6,-18
2168 C,10691,29,-10,-16
2169 C,10692,69,-10,-23
217 C,10693,81,19,-8
2170 C,10694,61,-11,-29
2171 C,10695,63,-12,-41
2172 C,10696,50,-3,-53
2173 C,10697,52,-8,-51
2174 C,10698,48,-2,-54
