PANTONENAME,UNIQUECODE,L,a,b
8562 C,12854,32,25,6
8563 C,12855,34,20,12
8564 C,12856,37,18,9
8565 C,12857,38,17,5
8580 C,12858,49,13,32
8581 C,12859,42,14,30
8582 C,12860,39,14,30
8583 C,12861,33,15,30
8584 C,12862,34,13,25
8585 C,12863,36,12,22
8600 C,12864,37,1,2
8601 C,12865,30,2,3
8602 C,12866,25,1,-2
8603 C,12867,20,1,-8
8604 C,12868,24,0,-11
8605 C,12869,28,-2,-12
8620 C,12870,41,7,20
8621 C,12871,34,7,15
8622 C,12872,29,4,12
8623 C,12873,25,2,6
8624 C,12874,26,1,5
8625 C,12875,28,1,4
8640 C,12876,54,7,45
8641 C,12877,58,6,54
8642 C,12878,59,5,61
8643 C,12879,59,6,63
8644 C,12880,61,1,60
8645 C,12881,61,-2,54
8660 C,12882,52,2,41
8661 C,12883,52,-4,49
8662 C,12884,53,-7,51
8663 C,12885,54,-13,54
8664 C,12886,57,-14,51
8665 C,12887,58,-15,44
8680 C,12888,48,-4,31
8681 C,12889,50,-9,38
8682 C,12890,51,-18,41
8683 C,12891,52,-26,45
8684 C,12892,52,-26,39
8685 C,12893,54,-27,35
8700 C,12894,48,-7,21
8701 C,12895,48,-15,28
8702 C,12896,49,-23,29
8703 C,12897,48,-32,29
8704 C,12898,51,-32,24
8705 C,12899,53,-31,20
871 C,12900,50,1,23
872 C,12901,49,3,23
8720 C,12902,43,-16,9
8721 C,12903,46,-18,13
8722 C,12904,44,-26,11
8723 C,12905,48,-36,10
8724 C,12906,51,-34,6
8725 C,12907,53,-33,3
873 C,12908,48,6,23
874 C,12909,49,7,23
8740 C,12910,41,-16,1
8741 C,12911,40,-25,5
8742 C,12912,41,-23,0
8743 C,12913,40,-28,-7
8744 C,12914,43,-27,-11
8745 C,12915,45,-26,-14
875 C,12916,46,11,18
876 C,12917,46,14,19
8760 C,12918,38,-22,-6
8761 C,12919,36,-22,-13
8762 C,12920,36,-16,-12
8763 C,12921,32,-16,-21
8764 C,12922,37,-16,-24
8765 C,12923,40,-15,-25
877 C,12924,59,-1,-2
8780 C,12925,26,8,-22
8781 C,12926,28,1,-18
8782 C,12927,25,12,-36
8783 C,12928,23,6,-36
8784 C,12929,29,4,-36
8785 C,12930,33,3,-37
8800 C,12931,28,20,-15
8801 C,12932,28,18,-20
8802 C,12933,23,22,-30
8803 C,12934,24,25,-27
8804 C,12935,28,23,-29
8805 C,12936,31,21,-31
8820 C,12937,37,34,-3
8821 C,12938,33,40,-9
8822 C,12939,31,30,-18
8823 C,12940,26,34,-25
8824 C,12941,31,31,-29
8825 C,12942,32,31,-33
8840 C,12943,38,37,3
8841 C,12944,35,43,-1
8842 C,12945,33,49,-7
8843 C,12946,30,47,-15
8844 C,12947,33,44,-20
8845 C,12948,35,37,-22
8860 C,12949,40,34,19
8861 C,12950,38,37,12
8862 C,12951,36,45,9
8863 C,12952,34,50,12
8864 C,12953,35,46,2
8865 C,12954,37,41,-4
8880 C,12955,42,29,14
8881 C,12956,41,38,9
8882 C,12957,41,49,3
8883 C,12958,41,48,21
8884 C,12959,41,43,14
8885 C,12960,42,40,9
8900 C,12961,45,32,30
8901 C,12962,48,41,32
8902 C,12963,48,41,22
8903 C,12964,47,48,24
8904 C,12965,48,45,17
8905 C,12966,48,41,14
8920 C,12967,47,26,28
8921 C,12968,47,37,42
8922 C,12969,47,40,53
8923 C,12970,47,43,46
8924 C,12971,47,40,40
8925 C,12972,47,36,34
8940 C,12973,49,23,41
8941 C,12974,48,27,48
8942 C,12975,48,32,54
8943 C,12976,50,37,58
8944 C,12977,50,33,53
8945 C,12978,50,29,43
8960 C,12979,51,13,42
8961 C,12980,50,21,49
8962 C,12981,52,21,58
8963 C,12982,51,29,58
8964 C,12983,51,25,50
8965 C,12984,52,20,43
901 C,12985,64,-25,-35
902 C,12986,85,-45,48
9020 C,12987,93,-5,18
9021 C,12988,93,2,2
9022 C,12989,92,3,-1
9023 C,12990,91,3,-3
903 C,12991,95,-8,64
904 C,12992,86,12,40
9040 C,12993,92,-5,-4
9041 C,12994,92,-5,1
9042 C,12995,92,-3,1
9043 C,12996,91,-1,3
9044 C,12997,88,-10,-3
9045 C,12998,87,-8,-2
905 C,12999,75,37,10
906 C,13000,70,58,-23
9060 C,13001,94,-3,11
9061 C,13002,93,3,0
9062 C,13003,93,-4,0
9063 C,13004,94,-4,2
9064 C,13005,95,-3,8
907 C,13006,65,63,-33
908 C,13007,66,-27,-34
9080 C,13008,90,-1,3
9081 C,13009,88,0,4
9082 C,13010,82,0,5
9083 C,13011,81,-1,5
9084 C,13012,69,0,5
909 C,13013,88,-36,40
910 C,13014,95,-7,50
9100 C,13015,92,-2,3
9101 C,13016,90,-2,3
9102 C,13017,87,-2,2
9103 C,13018,86,-2,2
911 C,13019,89,7,31
912 C,13020,79,32,7
9120 C,13021,94,-6,27
9121 C,13022,94,-7,31
9122 C,13023,90,-5,21
9123 C,13024,86,-3,16
913 C,13025,74,48,-20
914 C,13026,70,54,-29
9140 C,13027,94,-3,17
9141 C,13028,94,-4,21
9142 C,13029,90,-3,15
9143 C,13030,89,-2,14
915 C,13031,70,-31,-32
916 C,13032,89,-28,30
9160 C,13033,91,0,20
9161 C,13034,88,0,18
9162 C,13035,87,0,12
9163 C,13036,83,0,12
917 C,13037,95,-8,39
918 C,13038,91,6,25
9180 C,13039,92,2,13
9181 C,13040,91,2,15
9182 C,13041,89,2,11
9183 C,13042,87,2,10
9184 C,13043,91,0,11
9185 C,13044,90,1,10
9186 C,13045,85,2,9
919 C,13046,84,24,5
920 C,13047,80,36,-15
9200 C,13048,91,4,12
9201 C,13049,91,3,13
9202 C,13050,89,3,10
9203 C,13051,86,3,10
921 C,13052,77,39,-21
922 C,13053,70,-47,2
9220 C,13054,90,4,11
9221 C,13055,87,5,11
9222 C,13056,86,5,8
9223 C,13057,85,3,7
9224 C,13058,93,1,7
9225 C,13059,92,1,8
9226 C,13060,91,1,6
923 C,13061,93,-15,63
924 C,13062,92,-2,58
9240 C,13063,92,4,4
9241 C,13064,89,5,4
9242 C,13065,87,5,6
9243 C,13066,84,5,5
9244 C,13067,93,2,4
925 C,13068,78,28,25
926 C,13069,71,51,-7
9260 C,13070,90,7,4
9261 C,13071,88,8,4
9262 C,13072,87,6,3
9263 C,13073,85,6,5
927 C,13074,69,60,-27
928 C,13075,57,28,-47
9280 C,13076,91,6,2
9281 C,13077,90,7,2
9282 C,13078,89,7,2
9283 C,13079,88,5,2
9284 C,13080,85,18,3
9285 C,13081,93,1,3
9286 C,13082,91,8,3
929 C,13083,73,-46,1
930 C,13084,94,-13,51
9300 C,13085,90,9,0
9301 C,13086,89,7,-1
9302 C,13087,85,10,0
9303 C,13088,86,8,0
931 C,13089,93,-2,51
932 C,13090,82,23,21
9320 C,13091,90,8,-3
9321 C,13092,87,9,-3
9322 C,13093,86,10,-4
9323 C,13094,84,9,-3
9324 C,13095,85,18,-9
933 C,13096,76,42,-8
934 C,13097,73,50,-24
9340 C,13098,89,5,-5
9341 C,13099,87,5,-6
9342 C,13100,86,5,-6
9343 C,13101,85,7,-7
9344 C,13102,78,16,-20
9345 C,13103,93,1,0
935 C,13104,65,21,-37
936 C,13105,79,-35,-2
9360 C,13106,87,4,-9
9361 C,13107,86,6,-9
9362 C,13108,86,4,-7
9363 C,13109,82,6,-9
937 C,13110,95,-11,37
938 C,13111,94,-3,36
9380 C,13112,90,0,-6
9381 C,13113,87,-1,-9
9382 C,13114,84,0,-12
9383 C,13115,85,0,-8
9384 C,13116,89,-1,-7
9385 C,13117,85,-1,-7
939 C,13118,87,15,15
940 C,13119,82,31,-9
9400 C,13120,89,-3,-7
9401 C,13121,89,-3,-8
9402 C,13122,89,-4,-5
9403 C,13123,86,-3,-8
941 C,13124,79,37,-19
942 C,13125,74,15,-27
9420 C,13126,89,-4,-8
9421 C,13127,88,-5,-7
9422 C,13128,86,-4,-8
9423 C,13129,83,-5,-8
9424 C,13130,88,-11,-6
9440 C,13131,87,-10,-9
9441 C,13132,87,-10,-10
9442 C,13133,86,-10,-9
9443 C,13134,84,-9,-8
9460 C,13135,92,-8,-5
9461 C,13136,87,-12,-7
9462 C,13137,85,-12,-7
9463 C,13138,85,-10,-6
9464 C,13139,84,-18,-15
9480 C,13140,90,-12,-4
9481 C,13141,90,-12,-5
9482 C,13142,88,-11,-6
9483 C,13143,86,-9,-2
9500 C,13144,89,-15,-5
9501 C,13145,86,-14,-3
9502 C,13146,88,-9,-2
9503 C,13147,87,-8,-1
9504 C,13148,85,-8,-2
9520 C,13149,93,-10,1
9521 C,13150,90,-8,0
9522 C,13151,90,-7,1
9523 C,13152,89,-6,1
9524 C,13153,89,-22,0
9525 C,13154,94,-5,4
9540 C,13155,93,-8,3
9541 C,13156,92,-6,2
9542 C,13157,86,-7,5
9543 C,13158,84,-8,5
9544 C,13159,94,-7,9
9560 C,13160,93,-8,7
9561 C,13161,90,-9,8
9562 C,13162,89,-7,8
9563 C,13163,87,-6,7
9580 C,13164,93,-9,15
9581 C,13165,91,-6,11
9582 C,13166,87,-4,9
9583 C,13167,84,-6,11
9584 C,13168,89,-6,10
9585 C,13169,87,-5,10
9600 C,13170,92,-7,16
9601 C,13171,91,-5,13
9602 C,13172,87,-5,14
9603 C,13173,86,-3,11
Black 2 C,13174,19,-1,10
Black 3 C,13175,15,-5,3
Black 4 C,13176,17,3,8
Black 5 C,13177,20,9,2
Black 6 C,13178,8,-3,-6
Black 7 C,13179,25,0,4
Black C,13180,17,1,2
Blue 072 C,13181,17,46,-77
Bright Red C,13182,56,70,58
Cool Gray 1 C,13183,87,-1,0
Cool Gray 10 C,13184,43,-2,-3
Cool Gray 11 C,13185,37,-2,-3
Cool Gray 2 C,13186,84,-1,1
Cool Gray 3 C,13187,81,-1,1
Cool Gray 4 C,13188,76,0,0
Cool Gray 5 C,13189,73,-1,0
Cool Gray 6 C,13190,69,-1,-2
Cool Gray 7 C,13191,63,-1,-2
Cool Gray 8 C,13192,58,-1,-2
Cool Gray 9 C,13193,50,-1,-3
Dark Blue C,13194,21,31,-69
Green C,13195,62,-47,9
Medium Purple C,13196,21,49,-59
Orange 021 C,13197,60,64,70
Pink C,13198,50,71,-18
Process Blue C,13199,52,-12,-45
Purple C,13200,46,67,-44
Red 032 C,13201,54,70,40
Reflex Blue C,13202,16,34,-66
Rhodamine Red C,13203,50,78,-18
Rubine Red C,13204,45,70,13
Violet C,13205,21,49,-67
Warm Gray 1 C,13206,85,1,4
Warm Gray 10 C,13207,47,2,7
Warm Gray 11 C,13208,42,3,7
Warm Gray 2 C,13209,79,1,5
Warm Gray 3 C,13210,75,1,5
Warm Gray 4 C,13211,71,1,5
Warm Gray 5 C,13212,68,1,5
Warm Gray 6 C,13213,65,2,5
Warm Gray 7 C,13214,59,2,6
Warm Gray 8 C,13215,55,3,6
Warm Gray 9 C,13216,51,2,7
Warm Red C,13217,57,68,48
Yellow 012 C,13218,87,2,86
Yellow C,13219,89,-1,87
